id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
474300,Kung Fu Panda,2008-06-06,666,1010,146,3554,104,169,410,1036,2924,7626,11055,6079,1463,548
445917,Ant-Man,2015-07-14,603,2353,417,5399,215,392,926,2013,4556,9253,9644,3466,679,271
463688,"Hunger Games : La Révolte, partie 1",2014-11-21,534,1585,313,3065,495,927,2009,3798,6606,8133,5932,2491,717,396
380372,Battle Royale,2000-12-16,688,3803,217,5124,189,345,684,1225,2640,6083,10000,7285,2447,831
434287,Invictus,2009-12-11,657,3575,226,3888,112,202,486,1167,3057,7137,10760,6506,1880,536
460059,Da Vinci Code,2006-05-17,502,1796,176,2745,1171,1804,2840,4237,5982,6935,5369,2538,687,300
409843,Batman,1989-06-23,714,2944,233,12161,67,99,242,651,1858,5182,11338,8977,2604,867
376954,Burn After Reading,2008-09-12,657,3584,234,5148,157,309,670,1458,3139,7117,10758,6348,1574,389
378648,Le Parrain : 2e Partie,1974-12-20,831,7034,127,11729,50,32,90,168,537,1477,5154,10178,9022,5259
408283,Gangs of New York,2002-12-20,693,5352,102,7331,96,167,384,1007,2437,6064,10659,8017,2532,607
494225,Indiana Jones et le Royaume du crâne de cristal,2008-05-21,474,1193,354,3774,1146,2133,3844,5609,6738,6086,4020,1666,454,275
458173,Astérix aux Jeux olympiques,2008-01-30,280,614,251,3646,7135,7296,6187,4529,3249,2075,959,348,119,116
496206,Fargo,1996-03-08,776,7111,185,9439,54,53,140,295,859,2592,8055,12350,5874,1776
445218,Las Vegas Parano,1998-05-22,707,6698,171,7139,163,312,600,1070,2037,4499,9037,8831,3974,1537
373729,Le Diable s'habille en Prada,2006-06-29,575,1259,169,2431,364,733,1378,2675,5728,8910,7650,3368,1021,470
473747,Pacific Rim,2013-07-11,617,2451,931,7464,423,776,1413,2530,4271,7355,8560,5079,1528,483
472236,S.O.S. Fantômes,1984-06-08,714,2390,146,7005,76,125,278,691,1958,5565,11414,8766,2572,1047
425853,"Le Monde de Narnia : Chapitre 1 - Le Lion, la Sorcière blanche et l'Armoire magique",2005-12-07,550,920,116,3067,504,970,1717,3326,6211,8486,7085,3005,800,408
8447498,Divergente,2014-03-21,516,1286,396,2766,806,1408,2470,4018,6206,7808,5893,2590,830,509
11867538,Les Gardiens de la galaxie Vol. 2,2017-04-26,655,4087,404,8290,158,276,612,1389,3080,7105,10560,6649,2005,719
459866,Les Temps modernes,1936-02-05,820,4340,108,6190,46,28,56,123,452,1579,6186,12385,7908,3811
429264,Billy Elliot,2000-09-29,723,2430,90,3514,57,92,225,475,1543,4564,10953,9728,3597,1410
437844,Jeux d'enfants,2003-09-17,606,1942,179,2676,541,710,1227,2085,3952,7229,8770,5377,1998,786
430076,Match Point,2005-10-26,707,3959,211,4843,117,229,465,951,2199,5177,10179,9345,3232,921
7936847,La Vie d'Adèle : Chapitres 1 et 2,2013-10-09,645,5588,654,7251,683,798,1255,2162,3616,5981,7766,6297,3179,1223
423641,Qui veut la peau de Roger Rabbit,1988-06-22,746,2593,128,6599,77,102,217,460,1472,4279,10201,10252,4239,1679
