id,title,date_release,rating,wish_list_count,review_count,list_count,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,score,rank,year_release
474891,Vice-Versa,2015-06-19,750,3523,607,11836,91,160,331,848,2466,6528,14970,17857,8934,2790,0.8149897387804662,87,2015
406937,Les Gardiens de la galaxie,2014-08-01,700,2606,795,16397,248,421,799,1539,3676,8686,19001,16991,6101,1940,0.809974061580126,88,2014
450867,Elephant Man,1980-10-03,803,12277,155,8555,34,52,78,203,555,1731,5726,9987,5878,2658,0.8068372786632088,89,1980
422130,Les Infiltrés,2006-10-04,763,6796,257,13642,92,119,189,459,1226,3628,11456,16295,7503,2019,0.7776227437208563,90,2006
8269229,Prisoners,2013-10-20,765,6904,529,11266,50,50,143,376,965,3117,10272,15733,6770,1540,0.7727372700795995,91,2013
414447,Titanic,1997-12-18,674,5823,478,15634,1002,1264,2271,4035,8874,16637,23852,18832,9422,7753,0.7700503321245303,92,1997
493747,Le Roi Lion,1994-06-15,788,2054,280,16973,180,218,355,759,1990,4962,12972,19975,13845,10424,0.7687182736663617,93,1994
378648,Le Parrain : 2e Partie,1974-12-20,831,7034,127,11729,50,32,90,168,537,1477,5154,10178,9022,5259,0.7595999566381332,94,1974
362753,Wall-E,2008-06-26,770,3399,360,15300,136,192,326,792,2008,5788,14962,20120,10840,4141,0.7537565909598298,95,2008
477776,Into the Wild,2007-09-21,728,8008,498,11111,330,494,921,1700,3303,7519,16658,19500,11055,5269,0.749838525822611,96,2007
8193990,Réalité,2015-02-18,721,11562,296,6033,122,140,301,557,1177,2637,5386,5642,2778,938,0.7426580466823057,97,2015
449043,Mon voisin Totoro,1988-04-16,788,5560,267,13077,51,54,108,295,968,3147,9354,13690,8486,4909,0.7426509331067304,98,1988
421236,Cloud Atlas,2012-10-26,699,8552,708,9675,266,411,770,1490,2785,5209,8700,8465,4485,2006,0.7391322367872738,99,2012
466023,Heat,1995-12-06,782,7373,211,11697,38,50,131,277,824,2321,6327,9585,5377,2201,0.7315747552132843,100,1995
471803,Le Seigneur des Anneaux : Les Deux Tours,2002-12-18,792,2591,219,15776,268,271,384,818,1940,4778,14515,24099,16389,10542,0.7267593639622417,101,2002
459226,Citizen Kane,1941-05-01,804,11546,207,6854,47,46,119,210,725,1698,4509,7060,5103,2926,0.7256359572220642,102,1941
399294,American Beauty,1999-09-15,783,8410,267,10029,101,110,280,588,1366,4081,12174,19713,10816,3996,0.7229056191335856,103,1999
455599,Le Château ambulant,2004-11-20,796,5499,204,12840,51,42,92,261,752,2657,9217,15754,10952,6021,0.7214264482998947,104,2004
492468,Terminator 2 : Le Jugement dernier,1991-07-03,770,2552,221,16395,91,123,219,496,1417,3784,9234,11921,6602,2949,0.721422825693204,105,1991
397129,Brazil,1985-02-20,781,9864,238,8838,78,105,237,483,922,2041,4770,7629,5337,2783,0.7194104757169354,106,1985
481959,Edward aux mains d'argent,1990-12-14,766,5465,270,13229,122,192,377,868,2387,6804,18007,22068,10920,5181,0.7161682089064003,107,1990
430683,Gladiator,2000-05-05,756,4099,324,14449,144,215,482,1002,2377,6355,15700,19920,11388,5787,0.7159163162534077,108,2000
12648863,Au revoir là-haut,2017-10-25,747,9445,336,6325,37,45,115,302,807,2364,6584,8550,3777,1107,0.7137753003882317,109,2017
9008787,Avengers : Infinity War,2018-04-25,709,3741,593,11045,156,216,388,752,1723,4034,8892,8909,4099,1716,0.7120658562057872,110,2018
719994,Stalker,1979-05-13,819,12042,187,5688,45,53,87,137,308,499,1188,2123,2310,1887,0.7112752641829614,111,1979
497318,Metropolis,1927-01-10,816,11556,136,6579,31,33,69,137,414,1022,2878,5124,3956,2127,0.7085652974242856,112,1927
414626,Les Évadés,1994-09-10,808,7411,253,9805,78,66,88,226,660,2127,7759,15560,11982,5432,0.7037667611873777,113,1994
17099245,Grave,2017-03-15,700,8906,434,7430,210,253,470,869,1496,3285,6583,6742,3021,997,0.7031096810379162,114,2017
493660,Avengers,2012-05-04,647,2227,889,15062,502,790,1468,2805,5708,11181,15753,11050,3882,1691,0.6975735134891886,115,2012
13489086,Ready Player One,2018-03-28,686,6025,716,8366,195,304,696,1354,2753,5931,10070,8553,3914,1408,0.6967898356714597,116,2018
415777,Les Sentiers de la gloire,1957-12-20,817,9135,130,8572,12,15,38,62,202,733,2872,5832,4001,1351,0.6944473360007365,117,1957
377216,La Ligne rouge,1998-12-23,767,9411,206,9368,57,93,173,336,879,1917,4473,5572,3303,1807,0.6941668454483445,118,1998
381184,"The Tree of Life, l'Arbre de vie",2011-05-17,629,11762,686,7973,765,1089,1494,2046,2968,3730,4344,3733,2380,1441,0.6936784084136898,119,2011
23068056,Get Out,2017-05-03,715,8502,460,6866,86,143,309,739,1728,4718,11739,11294,3588,829,0.6901776568355903,120,2017
439915,12 Years a Slave,2013-11-08,727,9632,490,7968,88,103,263,652,1700,4517,10953,12007,4862,1230,0.6806144309539489,121,2013
482589,Les Fils de l'homme,2006-09-22,761,7724,347,9760,63,125,265,561,1535,3755,8463,10563,5876,2080,0.6800633146429207,122,2006
8464471,The Neon Demon,2016-06-08,652,9584,458,7597,305,428,832,1421,2501,3983,5096,4229,1983,758,0.6737267979848738,123,2016
449474,Casino,1995-11-16,794,6481,168,10898,28,42,87,225,677,1882,5651,9455,5933,2114,0.6660999074325941,124,1995
8277476,Star Wars : Les Derniers Jedi,2017-12-13,610,4111,1004,9863,701,812,1692,2924,4803,7761,9141,5795,1826,726,0.6646544123432956,125,2017
466657,Scarface,1983-12-09,756,7103,185,11382,83,118,271,598,1442,3765,10105,12817,6391,2451,0.6643056270907297,126,1983
11387996,Seul sur Mars,2015-10-02,682,5587,624,8939,129,234,504,1231,3141,8569,16051,10533,2709,663,0.6622604200935043,127,2015
411823,Melancholia,2011-05-26,694,10544,545,7307,284,462,715,1215,2014,3234,5345,5722,3360,1510,0.6619201853562099,128,2011
493364,Gran Torino,2008-12-12,770,6345,376,10090,123,184,348,751,1827,5425,16108,24250,12960,4214,0.6605626706141215,129,2008
415454,The Truman Show,1998-06-05,788,4952,324,11216,68,103,186,460,1406,5223,18043,28746,14931,5311,0.6599392417244848,130,1998
8315193,Le vent se lève,2013-07-20,729,9160,451,8108,46,84,190,513,1483,3868,7513,7522,3445,1333,0.6581052380827768,131,2013
443200,Sueurs froides,1958-05-09,811,7973,179,8583,27,21,51,151,430,1450,4492,7729,5049,2835,0.6562921215997726,132,1958
397793,Dallas Buyers Club,2013-11-01,767,7973,396,8361,40,36,87,192,685,2501,9494,15462,6801,1306,0.655914156306056,133,2013
455748,Le Château dans le ciel,1986-08-02,789,6126,160,11168,41,44,89,213,726,2779,9088,14070,8162,3993,0.6538561647725161,134,1986
11361642,Rogue One: A Star Wars Story,2016-12-14,681,3289,730,10169,201,256,648,1390,3112,7011,13208,10522,3425,890,0.6524936152651981,135,2016
409839,Monty Python : Sacré Graal !,1975-04-09,802,6700,219,9476,118,170,243,445,855,2249,6896,12831,10033,5127,0.6431711782086753,136,1975
8467708,Kingsman : Services secrets,2015-01-29,713,3399,609,9656,161,282,545,1221,2642,7258,16477,15636,5411,1379,0.6384058330963306,137,2015
472876,Lost in Translation,2003-10-03,720,9327,350,8415,186,351,699,1360,2810,5977,11986,12189,5744,2106,0.6331597782794068,138,2003
398728,The Irishman,2019-11-27,723,12231,193,3938,21,26,75,150,497,1227,2684,2607,851,192,0.632948831865117,139,2019
28822859,Green Book : Sur les routes du sud,2019-01-23,760,8058,324,5708,26,26,74,172,521,1720,6110,9532,4339,1071,0.632647782973957,140,2019
495890,Léon,1994-09-14,749,6593,234,10896,186,289,463,846,1996,5729,16402,21116,10345,4167,0.630084652154826,141,1994
362143,Deadpool,2016-02-04,660,3319,744,10205,478,634,1183,2287,4639,10431,17012,12433,4535,1791,0.6262398504074201,142,2016
472537,Coco,2017-11-22,773,5824,354,6999,68,40,82,169,580,2032,6202,10057,5292,2176,0.622946234673672,143,2017
468052,Nausicaä de la vallée du vent,1984-03-11,788,6704,161,9858,32,25,74,192,592,2003,5942,8893,5814,2868,0.6216714274561005,144,1984
17872831,Split,2016-09-26,680,7129,496,7596,107,172,543,1270,2962,7555,13491,9041,2693,769,0.6163027937286002,145,2016
418144,Akira,1988-07-16,792,7414,196,8589,39,48,104,293,777,1831,4924,8181,5702,2888,0.6139572544129889,146,1988
394207,The Social Network,2010-10-01,697,5307,736,9594,151,285,684,1751,4679,11379,18248,12699,4418,1264,0.6136233366994328,147,2010
9457270,Zootopie,2016-02-11,738,3513,479,9227,58,77,196,484,1594,5428,14410,15253,5894,1738,0.6136193035515274,148,2016
430042,Il faut sauver le soldat Ryan,1998-07-24,737,5279,197,12414,108,159,358,718,2000,5491,13408,14313,6131,2185,0.612659539963432,149,1998
496206,Fargo,1996-03-08,776,7111,185,9439,54,53,140,295,859,2592,8055,12350,5874,1776,0.611756037897888,150,1996
386027,Watchmen : Les Gardiens,2009-03-06,726,4442,445,11631,257,356,644,1259,2426,4777,9833,11618,6193,2134,0.610782382567226,151,2009
21806433,Moonlight,2016-11-18,708,10538,259,5082,43,70,205,460,1271,3300,6728,6233,2370,701,0.6093329318519183,152,2016
10536888,Night Call,2014-10-17,746,7692,487,7462,39,49,135,377,1100,3458,9943,11963,3622,720,0.6079598680297196,153,2014
22788969,120 battements par minute,2017-08-23,742,9037,282,5150,68,69,153,303,798,2104,4950,6752,3714,1422,0.6056683842359649,154,2017
493753,Big Fish,2003-12-10,729,7634,286,9533,133,220,451,1131,2488,6417,13789,14793,7058,2979,0.6042997496505069,155,2003
367492,Sin City,2005-04-01,733,6055,236,11246,190,316,513,1049,2431,5940,14271,16288,6797,1996,0.6020959438286635,156,2005
421250,Boyhood,2014-01-19,731,11083,348,5599,65,86,223,450,1115,2776,5762,6117,2865,905,0.600862349334024,157,2014
403401,Million Dollar Baby,2004-12-15,758,6692,207,9974,106,132,308,697,1684,4858,14109,18998,8701,2911,0.5997033407342328,158,2004
488559,Bienvenue à Gattaca,1997-10-24,770,6939,288,8669,51,61,173,439,1188,3985,11867,15920,7478,2527,0.5976390853290506,159,1997
552081,Le Pianiste,2002-09-06,781,8009,138,8421,72,77,132,274,794,2547,9138,15590,8364,2704,0.5972390444115738,160,2002
493176,There Will Be Blood,2007-12-26,770,9775,242,6281,54,80,166,386,893,2215,5126,7294,4354,1612,0.596794853439291,161,2007
433492,Le Retour du Jedi,1983-05-25,774,1587,208,14198,110,111,247,454,1450,4517,13403,19135,9844,4718,0.5940440053127667,162,1983
8176466,Alabama Monroe,2012-10-10,764,10219,300,5502,62,72,156,286,623,1619,3944,6058,4194,1612,0.5924266657247342,163,2012
385235,La Nuit du chasseur,1955-07-26,816,7582,213,6929,29,26,69,132,420,1134,3034,5181,4179,2442,0.5902205529599271,164,1955
380733,Skyfall,2012-10-26,708,2782,846,10143,161,244,523,1246,3166,8295,16772,14757,4899,1160,0.5861847013203644,165,2012
402373,Harakiri,1962-09-16,861,9614,87,4357,20,3,14,24,58,179,579,1572,1928,1083,0.5859343710034467,166,1962
372017,La vie est belle,1997-12-20,776,7232,235,8305,187,191,308,522,1222,3067,9639,16332,10979,5429,0.5856190447272083,167,1997
12986412,The Strangers,2016-05-12,746,9095,214,5033,33,52,106,257,548,1297,3063,3817,1842,487,0.582936507795986,168,2016
1316195,V pour Vendetta,2006-03-17,724,5705,309,10824,199,282,603,1242,3174,7559,15667,16682,8517,3529,0.5817103600264908,169,2006
407292,Fenêtre sur cour,1954-08-04,816,6481,177,8022,26,25,47,103,363,1417,5577,10419,6726,2730,0.5803478010188553,170,1954
393837,Eyes Wide Shut,1999-07-16,730,7675,208,9478,140,259,491,1009,1908,3965,7233,7821,4313,2026,0.5803376696118749,171,1999
11855174,Baby Driver,2017-06-28,693,6178,424,7827,124,190,431,972,2236,5347,9358,7849,2766,787,0.5757639469924455,172,2017
454630,Docteur Folamour,1964-01-29,788,7716,159,7700,35,41,89,204,537,1591,4553,7012,4290,1756,0.5721068191536444,173,1964
430387,Zodiac,2007-03-02,720,6791,240,10156,92,144,317,803,1955,5486,12165,10732,3653,949,0.569844164439759,174,2007
431884,La Chasse,2012-10-25,785,9220,290,5253,41,32,68,127,312,965,3763,7127,3500,793,0.5680791474566331,175,2012
377422,Ghost in the Shell,1995-10-18,776,7043,161,8590,36,49,110,250,699,1961,5233,7529,4358,1984,0.5664811254497522,176,1995
1324648,Trainspotting,1996-02-23,754,6789,197,9270,108,127,286,581,1504,4249,12636,16463,7206,2294,0.5659144810266977,177,1996
372529,Le Discours d'un roi,2010-12-16,742,7017,539,6710,62,90,209,477,1541,4840,13387,15347,5939,1530,0.5612830205079963,178,2010
434210,La vie est belle,1946-12-21,822,7854,175,5982,35,24,44,83,259,720,2273,4223,3406,2098,0.5580862975071936,179,1946
380190,M le maudit,1931-05-11,820,8577,136,5538,27,26,56,122,350,900,3043,5538,4145,1935,0.5533128274707165,180,1931
392288,American History X,1998-10-30,779,6868,238,7737,121,160,286,528,1224,3554,11756,21409,12399,4266,0.5528472078813912,181,1998
16001303,Spotlight,2015-11-06,724,7491,285,6082,48,40,128,347,974,3123,8161,7942,2547,483,0.54912577810041,182,2015
398222,In the Mood for Love,2000-05-20,780,8767,170,6312,53,81,123,253,570,1356,3303,5198,3655,1904,0.5490467369758668,183,2000
11936492,Captain Fantastic,2016-07-08,754,6489,326,5690,54,78,181,380,890,2451,7329,10205,5147,1650,0.5467098595215455,184,2016
360929,Raging Bull,1980-11-14,787,6940,135,8022,26,25,62,153,428,1349,4040,6320,3382,1291,0.5457418063513301,185,1980
14954623,Spider-Man : New Generation,2018-12-12,800,4148,268,6821,32,19,45,99,254,921,3264,6787,4912,1727,0.5446403093192703,186,2018
472094,La Haine,1995-05-31,768,7475,207,7545,166,158,284,501,1276,3281,9965,16303,9445,3482,0.5441563822918789,187,1995
479344,Là-haut,2009-05-28,751,3201,382,10839,91,147,330,818,2346,7216,17672,20361,9095,3269,0.5431612767401911,188,2009
382428,Arrête-moi si tu peux,2002-12-25,743,4230,160,11790,54,83,191,577,1702,6191,17971,18884,6722,1998,0.5419225456972154,189,2002
21752348,Call Me by Your Name,2018-02-28,733,8277,280,4925,74,88,194,443,886,1888,3843,5154,3344,1713,0.541861922129995,190,2018
10713376,Ex Machina,2015-01-23,715,6768,365,6300,49,87,233,600,1539,4423,10379,9019,2555,502,0.5411318603449538,191,2015
395690,La Cité de la peur,1994-03-09,743,4598,348,9974,339,427,735,1245,2569,6479,14752,17145,9629,5360,0.5411016187677996,192,1994
492158,L'Impasse,1993-11-12,806,7257,133,6981,8,10,26,80,278,813,2873,5281,3182,1141,0.5405940708106737,193,1993
24222651,"First Man, le premier homme sur la Lune",2018-10-17,717,8642,299,4904,20,46,85,265,746,2098,4563,4361,1395,285,0.5391763130102405,194,2018
448604,"Snowpiercer, le Transperceneige",2013-08-01,669,5296,603,9672,298,511,1035,2256,4042,8067,12005,8500,2706,692,0.536219365981101,195,2013
11074108,Les Indestructibles 2,2018-07-04,729,6939,283,6199,34,37,102,293,977,3355,8895,8558,2816,806,0.5358870150894431,196,2018
414147,"Paris, Texas",1984-09-19,805,8978,131,5261,24,41,60,121,287,761,2321,4345,3186,1680,0.5357553459305795,197,1984
389355,Mr. Nobody,2009-09-11,716,10045,346,5498,173,250,427,939,1774,3607,7288,7640,4532,2251,0.5346102758810946,198,2009
